640,0.32,17664
366,0.87,7832
542,0.87,11544
248,0.49,48310
215,0.78,18189
970,0.82,20176
326,0.66,7758
865,0.32,23095
730,0.48,17593
996,0.75,21015
216,0.4,60998
168,0.51,38421
913,0.77,19720
400,0.68,9360
62,0.79,31000
311,0.78,7246
244,0.89,5416
630,0.89,12915
558,0.76,12331
824,0.32,22742
878,0.76,19140
465,0.69,10695
181,0.62,14932
151,0.42,58950
552,0.37,15345
50,0.45,25000
386,0.75,8878
754,0.58,17643
342,0.34,42579
13,0.6,6500
762,0.67,17068
507,0.42,13435
456,0.73,10488
941,0.53,22301
924,0.58,20974
65,0.63,32500
277,0.62,6925
136,0.71,23052
636,0.79,13801
401,0.88,8461
440,0.43,32956
680,0.48,16728
966,0.7,21155
509,0.78,11350
696,0.65,15590
435,0.78,9831
374,0.83,8115
643,0.31,18068
776,0.84,16296
376,0.46,10076
873,0.66,19467
706,0.73,15602
777,0.81,16627
207,0.74,5112
191,0.78,8786
485,0.79,10573
422,0.58,10128
974,0.61,21915
73,0.49,36500
980,0.41,24696
971,0.83,20585
726,0.83,15536
345,0.37,19389
493,0.48,12472
766,0.58,17771
42,0.38,21000
920,0.32,25208
280,0.38,59164
199,0.72,10507
643,0.64,14403
954,0.33,24231
815,0.46,20212
716,0.4,18114
540,0.61,12744
597,0.69,13910
398,0.33,49352
117,0.67,41862
107,0.63,52858
768,0.64,17280
792,0.71,17028
786,0.72,17056
814,0.81,16931
636,0.86,13165
735,0.31,79747
364,0.62,8772
998,0.85,20658
420,0.3,70350
864,0.36,22291
955,0.83,19577
641,0.81,13461
74,0.59,37000
464,0.81,10022
986,0.52,22480
531,0.6,12584
320,0.66,7744
635,0.57,14922
43,0.48,21500
519,0.75,11469
910,0.7,19565
535,0.79,11502
