640,0.32,18858
983,0.33,25951
331,0.48,17112
987,0.45,23984
684,0.51,16416
29,0.82,14500
520,0.69,11925
899,0.41,22714
352,0.78,7943
194,0.52,31932
637,0.86,13483
663,0.53,15956
854,0.7,18731
406,0.86,8810
927,0.61,20857
202,0.42,63589
976,0.86,19747
282,0.7,11129
527,0.35,15897
656,0.86,13535
85,0.68,34699
228,0.31,82391
31,0.77,15500
431,0.6,10387
164,0.33,78031
978,0.44,23602
144,0.54,53265
161,0.41,65140
551,0.62,12636
130,0.65,37214
459,0.45,11796
346,0.3,78668
620,0.36,21762
356,0.36,75958
129,0.74,49892
307,0.65,9946
840,0.82,17696
898,0.45,21911
946,0.59,21505
498,0.64,11520
404,0.84,8861
84,0.56,40678
112,0.86,26558
998,0.53,23319
564,0.68,12878
49,0.86,24500
859,0.79,18239
972,0.59,21967
644,0.56,15327
198,0.61,31389
86,0.48,43000
520,0.64,12046
158,0.3,76556
503,0.31,20455
870,0.76,18676
676,0.35,18229
234,0.6,16458
103,0.8,42889
559,0.89,11850
87,0.76,42137
343,0.5,18499
323,0.74,7558
782,0.44,19289
532,0.34,15552
23,0.34,11500
7,0.38,3500
961,0.7,20981
139,0.41,65283
546,0.55,13176
769,0.36,20327
770,0.73,16837
184,0.61,28378
135,0.41,62856
601,0.58,13883
245,0.46,42891
26,0.85,13000
595,0.5,14498
612,0.31,28315
246,0.61,25854
344,0.33,46566
86,0.59,43000
971,0.58,21750
705,0.46,17460
276,0.67,11362
78,0.34,39000
646,0.77,13910
739,0.88,15371
589,0.49,14587
774,0.33,20949
873,0.68,19351
956,0.37,24696
514,0.73,11530
260,0.38,53672
461,0.39,24325
351,0.4,30607
900,0.74,19080
725,0.35,22499
85,0.84,39162
908,0.69,19673
494,0.7,11164
